samplename	purity	ploidy
69	0.99	2.79
221	1	1.97
105	1	2
98	1	2.02
T28	1	2
31_Tris	0.9	4.49
41	0.87	1.72
206	1	2
T2	1	1.99
163	1	2.01
202_right	0.5	2
29	0.46	2.02
113_right	0.8200000000000001	1.75
188_Bis	0.78	1.74
212	0.7100000000000001	3.69
59	1	2
161_left	1	1.88
164	0.9	1.8
210	0.8200000000000001	1.95
137	0.7100000000000001	3.06
70	0.85	3.91
204	1	2
T49	0.6900000000000001	3.12
31_Bis	0.6900000000000001	3.16
16	0.76	2.81
96	1	2
119	0.8300000000000001	1.7
53	0.7000000000000001	2.12
115	1	1.99
172	0.64	1.9
90	0.7100000000000001	3.9800000000000004
113_left	0.92	1.8199999999999998
133	0.8	3.59
147	0.93	2.05
95	0.61	1.89
50	0.72	3.09
T44	0.77	2.03
168	0.87	2.73
49	0.8300000000000001	1.8599999999999999
131_left	0.33	2.51
107	0.9	3.9699999999999998
122	0.59	3.7699999999999996
134	1	2.2
12	0.85	1.88
192	0.79	2.03
179	0.8200000000000001	3.79
36	1	2.05
37	1	2
54	0.85	4.36
187_right	0.9600000000000001	2.07
155	0.5700000000000001	3.11
191	1	2
20	0.09999999999999999	2.15
208	0.81	2.6
80	0.7100000000000001	2.52
T39	0.81	2.83
126	0.24000000000000002	2.48
205	0.7100000000000001	2.76
60	1	1.99
183_left	0.8	2.2199999999999998
118	0.93	3.7699999999999996
13	0.92	3.19
65	0.86	2.02
127	1	2.03
84	0.73	2.04
175	1	2
116	1	1.99
18	1	2
193	0.48000000000000004	3.02
149	0.91	2.84
T20	0.27	2.33
T19	1	1.99
T31	0.8300000000000001	2
47	0.9600000000000001	3.3
198	0.9600000000000001	1.95
3	0.62	1.97
17	1	1.99
85	0.33	2.46
181	0.8	3.2
33	0.79	4.11
103	1	1.99
123_left	0.54	3.4699999999999998
91	0.91	2.15
171	1	1.98
57	1	1.99
T58	0.8200000000000001	3.51
21	0.93	1.75
92	0.92	2.35
11	0.86	2.16
106	0.6900000000000001	2.69
T50	0.7000000000000001	2.08
214	0.55	3.11
112	1	2.01
197	0.91	2.99
T36	0.75	3.16
82	0.51	3.04
215	1	2
38	1	2.05
111	1	1.98
T38	1	1.95
124	0.62	2.58
7	1	2
189	0.5700000000000001	2.51
15	0.55	2.49
115_Bis	1	2
78	0.32	2.96
180	1	2.1
185	1	1.99
166	0.97	4.79
158	1	2
220	1	2.08
T4	1	3.7199999999999998
151	0.31	1.77
T41	0.77	1.79
132	1	1.98
T47	0.7000000000000001	3.41
T9	0.88	3.52
190	0.74	2.88
5	0.77	2.8
100	1	1.99
T37	0.47000000000000003	2.42
T56	1	2
174	1	2.05
T14	0.59	2.21
T10	1	1.98
25	1	2
T6	0.89	1.95
4	0.26	2.77
T3	1	2.02
T16	1	1.98
178	0.78	2.92
72	0.8400000000000001	2.98
26	1	2
T60	1	2
T55	0.5700000000000001	3.63
182	0.5700000000000001	2.9699999999999998
187_left	0.8200000000000001	2.06
213	0.72	1.93
101	0.7000000000000001	2.66
148	0.92	2.92
1	0.86	2.8200000000000003
219	0.88	3.5300000000000002
188	0.68	1.8399999999999999
83	0.68	2.64
51	0.5	3.42
T32	1	1.99
217	0.77	2.03
52	0.68	2.25
T54	0.8	2.7800000000000002
T26	1	1.95
T27	1	2
202_left	0.86	2.83
23_right	0.33	2.03
8	0.6900000000000001	1.89
14	1	2
75	1	1.98
T29	1	1.98
T42	0.92	1.7
67	0.6	2.02
T23	1	2
T8	1	1.99
203	0.78	3.6399999999999997
31	0.55	3.58
48	0.81	1.8399999999999999
23_left	1	2.01
117	1	1.98
63	0.51	2.56
135	1	2
184	0.92	2.99
186	0.29000000000000004	2.76
207	0.42000000000000004	2.94
123_right	0.4	3.09
97_Bis	0.73	2.33
45	0.25	2.52
T53	1	2
176	1	2
T5	1	2.01
224	1	2
225	0.81	1.97
86	0.87	2.87
T22	0.86	2.9299999999999997
131_right	0.64	2.77
156	0.43	2.44
44	1	2
128	0.54	2.42
T13	0.7100000000000001	3.11
99	0.9600000000000001	3.8600000000000003
159	0.74	1.81
102	1	1.92
10	1	2.35
200	1	1.99
39	0.86	2.07
161_right	1	1.98
T48	0.87	2.24
223	1	1.8499999999999999
T33	0.97	2.07
22	0.76	2.07
T24	1	2.02
42	1	2
T15	0.72	1.8399999999999999
T57	0.38	2.7800000000000002
T1	0.73	2.02
73	0.75	2.05
T25	0.77	3.9000000000000004
T62	0.34	2.5300000000000002
97	0.86	3.35
114	0.78	2.03
150	1	1.99
195	0.59	3.27
6	1	2.12
T59	1	1.93
34	0.53	2.61
183_right	0.34	2.99
89	0.42000000000000004	1.94
28	1	2
141	1	2
154	0.46	2.63
104	0.76	2.66
129	1	1.99
