sample,bam,gender
100,path/to/downloaded/bam100.bam,female
101,path/to/downloaded/bam101.bam,female
102,path/to/downloaded/bam102.bam,female
103,path/to/downloaded/bam103.bam,female
104,path/to/downloaded/bam104.bam,female
105,path/to/downloaded/bam105.bam,female
106,path/to/downloaded/bam106.bam,female
107,path/to/downloaded/bam107.bam,female
10,path/to/downloaded/bam10.bam,female
111,path/to/downloaded/bam111.bam,female
112,path/to/downloaded/bam112.bam,female
113_left,path/to/downloaded/bam113_left.bam,female
113_right,path/to/downloaded/bam113_right.bam,female
114,path/to/downloaded/bam114.bam,female
115,path/to/downloaded/bam115.bam,female
115_Bis,path/to/downloaded/bam115bis.bam,female
116,path/to/downloaded/bam116.bam,female
117,path/to/downloaded/bam117.bam,female
118,path/to/downloaded/bam118.bam,female
119,path/to/downloaded/bam119.bam,female
11,path/to/downloaded/bam11.bam,female
122,path/to/downloaded/bam122.bam,female
123_left,path/to/downloaded/bam123_left.bam,female
123_right,path/to/downloaded/bam123_right.bam,female
124,path/to/downloaded/bam124.bam,female
126,path/to/downloaded/bam126.bam,female
127,path/to/downloaded/bam127.bam,female
128,path/to/downloaded/bam128.bam,female
129,path/to/downloaded/bam129.bam,female
12,path/to/downloaded/bam12.bam,female
131_left,path/to/downloaded/bam131_left.bam,female
131_right,path/to/downloaded/bam131_right.bam,female
132,path/to/downloaded/bam132.bam,female
133,path/to/downloaded/bam133.bam,female
134,path/to/downloaded/bam134.bam,female
135,path/to/downloaded/bam135.bam,female
137,path/to/downloaded/bam137.bam,female
13,path/to/downloaded/bam13.bam,female
141,path/to/downloaded/bam141.bam,female
147,path/to/downloaded/bam147.bam,female
148,path/to/downloaded/bam148.bam,female
149,path/to/downloaded/bam149.bam,female
14,path/to/downloaded/bam14.bam,female
150,path/to/downloaded/bam150.bam,female
151,path/to/downloaded/bam151.bam,female
154,path/to/downloaded/bam154.bam,female
155,path/to/downloaded/bam155.bam,female
156,path/to/downloaded/bam156.bam,female
158,path/to/downloaded/bam158.bam,female
159,path/to/downloaded/bam159.bam,female
15,path/to/downloaded/bam15.bam,female
161_left,path/to/downloaded/bam161_left.bam,female
161_right,path/to/downloaded/bam161_right.bam,female
163,path/to/downloaded/bam163.bam,female
164,path/to/downloaded/bam164.bam,female
166,path/to/downloaded/bam166.bam,female
168,path/to/downloaded/bam168.bam,female
16,path/to/downloaded/bam16.bam,female
171,path/to/downloaded/bam171.bam,female
172,path/to/downloaded/bam172.bam,female
174,path/to/downloaded/bam174.bam,female
175,path/to/downloaded/bam175.bam,female
176,path/to/downloaded/bam176.bam,female
178,path/to/downloaded/bam178.bam,female
179,path/to/downloaded/bam179.bam,female
17,path/to/downloaded/bam17.bam,female
180,path/to/downloaded/bam180.bam,female
181,path/to/downloaded/bam181.bam,female
182,path/to/downloaded/bam182.bam,female
183_left,path/to/downloaded/bam183_left.bam,female
183_right,path/to/downloaded/bam183_right.bam,female
184,path/to/downloaded/bam184.bam,female
185,path/to/downloaded/bam185.bam,female
186,path/to/downloaded/bam186.bam,female
187_left,path/to/downloaded/bam187_left.bam,female
187_right,path/to/downloaded/bam187_right.bam,female
188,path/to/downloaded/bam188.bam,female
188_Bis,path/to/downloaded/bam188bis.bam,female
189,path/to/downloaded/bam189.bam,female
18,path/to/downloaded/bam18.bam,female
190,path/to/downloaded/bam190.bam,female
191,path/to/downloaded/bam191.bam,female
192,path/to/downloaded/bam192.bam,female
193,path/to/downloaded/bam193.bam,female
195,path/to/downloaded/bam195.bam,female
197,path/to/downloaded/bam197.bam,female
198,path/to/downloaded/bam198.bam,female
1,path/to/downloaded/bam1.bam,female
200,path/to/downloaded/bam200.bam,female
202_left,path/to/downloaded/bam202_left.bam,female
202_right,path/to/downloaded/bam202_right.bam,female
203,path/to/downloaded/bam203.bam,female
204,path/to/downloaded/bam204.bam,female
205,path/to/downloaded/bam205.bam,female
206,path/to/downloaded/bam206.bam,female
207,path/to/downloaded/bam207.bam,female
208,path/to/downloaded/bam208.bam,female
20,path/to/downloaded/bam20.bam,female
210,path/to/downloaded/bam210.bam,female
212,path/to/downloaded/bam212.bam,female
213,path/to/downloaded/bam213.bam,female
214,path/to/downloaded/bam214.bam,female
215,path/to/downloaded/bam215.bam,female
217,path/to/downloaded/bam217.bam,female
219,path/to/downloaded/bam219.bam,female
21,path/to/downloaded/bam21.bam,female
220,path/to/downloaded/bam220.bam,female
221,path/to/downloaded/bam221.bam,female
223,path/to/downloaded/bam223.bam,female
224,path/to/downloaded/bam224.bam,female
225,path/to/downloaded/bam225.bam,female
22,path/to/downloaded/bam22.bam,female
23_left,path/to/downloaded/bam23_left.bam,female
23_right,path/to/downloaded/bam23_right.bam,female
25,path/to/downloaded/bam25.bam,female
26,path/to/downloaded/bam26.bam,female
28,path/to/downloaded/bam28.bam,female
29,path/to/downloaded/bam29.bam,female
31,path/to/downloaded/bam31.bam,female
31_Bis,path/to/downloaded/bam31bis.bam,female
31_Tris,path/to/downloaded/bam31tris.bam,female
33,path/to/downloaded/bam33.bam,female
34,path/to/downloaded/bam34.bam,female
36,path/to/downloaded/bam36.bam,female
37,path/to/downloaded/bam37.bam,female
38,path/to/downloaded/bam38.bam,female
39,path/to/downloaded/bam39.bam,female
3,path/to/downloaded/bam3.bam,female
41,path/to/downloaded/bam41.bam,female
42,path/to/downloaded/bam42.bam,female
44,path/to/downloaded/bam44.bam,female
45,path/to/downloaded/bam45.bam,female
47,path/to/downloaded/bam47.bam,female
48,path/to/downloaded/bam48.bam,female
49,path/to/downloaded/bam49.bam,female
4,path/to/downloaded/bam4.bam,female
50,path/to/downloaded/bam50.bam,female
51,path/to/downloaded/bam51.bam,female
52,path/to/downloaded/bam52.bam,female
53,path/to/downloaded/bam53.bam,female
54,path/to/downloaded/bam54.bam,female
57,path/to/downloaded/bam57.bam,female
59,path/to/downloaded/bam59.bam,female
5,path/to/downloaded/bam5.bam,female
60,path/to/downloaded/bam60.bam,female
63,path/to/downloaded/bam63.bam,female
65,path/to/downloaded/bam65.bam,female
67,path/to/downloaded/bam67.bam,female
69,path/to/downloaded/bam69.bam,female
6,path/to/downloaded/bam6.bam,female
70,path/to/downloaded/bam70.bam,female
72,path/to/downloaded/bam72.bam,female
73,path/to/downloaded/bam73.bam,female
75,path/to/downloaded/bam75.bam,female
78,path/to/downloaded/bam78.bam,female
7,path/to/downloaded/bam7.bam,female
80,path/to/downloaded/bam80.bam,female
82,path/to/downloaded/bam82.bam,female
83,path/to/downloaded/bam83.bam,female
84,path/to/downloaded/bam84.bam,female
85,path/to/downloaded/bam85.bam,female
86,path/to/downloaded/bam86.bam,female
89,path/to/downloaded/bam89.bam,female
8,path/to/downloaded/bam8.bam,female
90,path/to/downloaded/bam90.bam,female
91,path/to/downloaded/bam91.bam,female
92,path/to/downloaded/bam92.bam,female
95,path/to/downloaded/bam95.bam,female
96,path/to/downloaded/bam96.bam,female
97,path/to/downloaded/bam97.bam,female
97_Bis,path/to/downloaded/bam97bis.bam,female
98,path/to/downloaded/bam98.bam,female
99,path/to/downloaded/bam99.bam,female
T10,path/to/downloaded/bamT10.bam,female
T13,path/to/downloaded/bamT13.bam,female
T14,path/to/downloaded/bamT14.bam,female
T15,path/to/downloaded/bamT15.bam,female
T16,path/to/downloaded/bamT16.bam,female
T19,path/to/downloaded/bamT19.bam,female
T1,path/to/downloaded/bamT1.bam,female
T20,path/to/downloaded/bamT20.bam,female
T22,path/to/downloaded/bamT22.bam,female
T23,path/to/downloaded/bamT23.bam,female
T24,path/to/downloaded/bamT24.bam,female
T25,path/to/downloaded/bamT25.bam,female
T26,path/to/downloaded/bamT26.bam,female
T27,path/to/downloaded/bamT27.bam,female
T28,path/to/downloaded/bamT28.bam,female
T29,path/to/downloaded/bamT29.bam,female
T2,path/to/downloaded/bamT2.bam,female
T31,path/to/downloaded/bamT31.bam,female
T32,path/to/downloaded/bamT32.bam,female
T33,path/to/downloaded/bamT33.bam,female
T36,path/to/downloaded/bamT36.bam,female
T37,path/to/downloaded/bamT37.bam,female
T38,path/to/downloaded/bamT38.bam,female
T39,path/to/downloaded/bamT39.bam,female
T3,path/to/downloaded/bamT3.bam,female
T41,path/to/downloaded/bamT41.bam,female
T42,path/to/downloaded/bamT42.bam,female
T44,path/to/downloaded/bamT44.bam,female
T47,path/to/downloaded/bamT47.bam,female
T48,path/to/downloaded/bamT48.bam,female
T49,path/to/downloaded/bamT49.bam,female
T4,path/to/downloaded/bamT4.bam,female
T50,path/to/downloaded/bamT50.bam,female
T53,path/to/downloaded/bamT53.bam,female
T54,path/to/downloaded/bamT54.bam,female
T55,path/to/downloaded/bamT55.bam,female
T56,path/to/downloaded/bamT56.bam,female
T57,path/to/downloaded/bamT57.bam,female
T58,path/to/downloaded/bamT58.bam,female
T59,path/to/downloaded/bamT59.bam,female
T5,path/to/downloaded/bamT5.bam,female
T60,path/to/downloaded/bamT60.bam,female
T62,path/to/downloaded/bamT62.bam,female
T6,path/to/downloaded/bamT6.bam,female
T8,path/to/downloaded/bamT8.bam,female
T9,path/to/downloaded/bamT9.bam,female
