chr	start	end	log2_TNratio_corrected
chr1	1000001	1500000	NA
chr1	1500001	2000000	-0.12636110432613
chr1	2000001	2500000	-0.0479005715205737
chr1	2500001	3000000	NA
chr1	3000001	3500000	-0.0161273349245413
chr1	3500001	4000000	0.06201039591066
chr1	4000001	4500000	0.0394521349360573
chr1	4500001	5000000	-0.0772013927911127
chr1	5000001	5500000	-0.00418591156107982
chr1	5500001	6000000	-0.0227584419432943
chr1	6000001	6500000	-0.056588299107977
chr1	6500001	7000000	-0.0769286918386154
chr1	7000001	7500000	-0.0495562960891709
chr1	7500001	8000000	-0.0439800743453452
chr1	8000001	8500000	-0.0516117787690633
chr1	8500001	9000000	-0.0308625563189043
chr1	9000001	9500000	-0.0107467170562553
chr1	9500001	10000000	0.0486904168760361
chr1	10000001	10500000	0.119968496167762
chr1	10500001	11000000	-0.0779807935371216
chr1	11000001	11500000	-0.00830287807521736
chr1	11500001	12000000	0.0611188057884757
chr1	12000001	12500000	0.0233690426070067
chr1	13500001	14000000	0.0262586906894915
chr1	14000001	14500000	0.0244594654384656
chr1	14500001	15000000	0.0102906081951376
chr1	15000001	15500000	0.0186164651441412
chr1	15500001	16000000	-0.109701751133023
chr1	16000001	16500000	0.0487062702581794
chr1	17000001	17500000	0.0481399717903189
chr1	17500001	18000000	-0.0502784769777617
chr1	18000001	18500000	0.0633269197654018
chr1	18500001	19000000	0.00590726515671725
chr1	19000001	19500000	0.0209204765558851
chr1	19500001	20000000	0.00374281213537267
chr1	20000001	20500000	0.0323900734310038
chr1	20500001	21000000	0.0352137623428454
chr1	21000001	21500000	0.00433811954542003
chr1	21500001	22000000	0.0187601274455445
chr1	22000001	22500000	-0.0027423912489235
chr1	22500001	23000000	-0.0654441011516482
chr1	23000001	23500000	-0.00353768241994504
chr1	23500001	24000000	0.0452502813763915
chr1	24000001	24500000	0.0348007301277171
chr1	24500001	25000000	-0.010359443136922
chr1	25000001	25500000	-0.0489245387149428
chr1	25500001	26000000	0.00270230406909629
chr1	26000001	26500000	0.131322283870698
chr1	26500001	27000000	0.0716371701632764
